"Title"	"ISSN"	"Languages (three-letter ISO language codes)"
"ANNALS OF NUTRITION AND METABOLISM"	"0250-6807|1421-9697"	"ENG|MUL"
"ANNALS OF OCCUPATIONAL AND ENVIRONMENTAL MEDICINE"	"2052-4374"	"ENG"
"ANNALS OF ONCOLOGY"	"0923-7534|1569-8041"	"ENG"
"ANNALS OF OPERATIONS RESEARCH"	"0254-5330|1572-9338"	"ENG"
"ANNALS OF OTOLOGY, RHINOLOGY AND LARYNGOLOGY"	"0003-4894|1943-572X"	"ENG"
"ANNALS OF PALLIATIVE MEDICINE"	"2224-5820|2224-5839"	"ENG"
"ANNALS OF PANCREATIC CANCER"	"2616-2741"	"ENG"
"ANNALS OF PARASITOLOGY"	"2299-0631"	"ENG"
"ANNALS OF PDE"	"2199-2576|2524-5317"	"ENG"
"ANNALS OF PEDIATRIC CARDIOLOGY"	"0974-2069|0974-5149"	"ENG"
"ANNALS OF PEDIATRIC ENDOCRINOLOGY AND METABOLISM"	"2287-1012|2287-1292"	"ENG|KOR"
"ANNALS OF PEDIATRIC SURGERY"	"1687-4137|2090-5394"	"ENG"
"ANNALS OF PHARMACOTHERAPY"	"1060-0280|1542-6270"	"ENG|MUL"
"ANNALS OF PHYSICAL AND REHABILITATION MEDICINE"	"1877-0657|1877-0665"	"ENG|FRE"
"ANNALS OF PHYSICS"	"0003-4916|1096-035X"	"ENG"
"ANNALS OF PHYTOMEDICINE - AN INTERNATIONAL JOURNAL"	"2278-9839|2393-9885"	"ENG"
"ANNALS OF PLASTIC SURGERY"	"0148-7043|1536-3708"	"ENG"
"ANNALS OF PROBABILITY"	"0091-1798|2168-894X"	"ENG"
"ANNALS OF PSYCHOLOGY"	"2451-4306"	"ENG|POL"
"ANNALS OF PUBLIC AND COOPERATIVE ECONOMICS"	"1370-4788|1467-8292"	"ENG|MUL"
"ANNALS OF PURE AND APPLIED LOGIC"	"0168-0072|1873-2461"	"ENG"
"ANNALS OF REGIONAL SCIENCE"	"0570-1864|1432-0592"	"ENG"
"ANNALS OF REHABILITATION MEDICINE - ARM"	"2234-0645|2234-0653"	"ENG"
"ANNALS OF SAUDI MEDICINE"	"0975-4466|0256-4947|1319-9226"	"ENG"
"ANNALS OF SCIENCE"	"0003-3790|1464-505X"	"ENG|MUL"
"ANNALS OF SILVICULTURAL RESEARCH"	"2284-354X"	"ENG|ITA"
"ANNALS OF SOLID AND STRUCTURAL MECHANICS"	"1867-6936"	"ENG"
"ANNALS OF STATISTICS"	"0090-5364|2168-8966"	"ENG"
"ANNALS OF SURGERY"	"0003-4932|1528-1140"	"ENG"
"ANNALS OF SURGICAL ONCOLOGY"	"1068-9265|1534-4681"	"ENG"
"ANNALS OF SURGICAL TREATMENT AND RESEARCH"	"2288-6575|2288-6796"	"ENG|KOR"
"ANNALS OF THE ACADEMY OF MEDICINE, SINGAPORE"	"0304-4602"	"ENG"
"ANNALS OF THE ACADEMY OF ROMANIAN SCIENTISTS: SERIES ON MATHEMATICS AND ITS APPLICATIONS"	"2066-5997|2066-6594"	"ENG"
"ANNALS OF THE AMERICAN ACADEMY OF POLITICAL AND SOCIAL SCIENCE"	"0002-7162|1552-3349"	"ENG"
"ANNALS OF THE AMERICAN ASSOCIATION OF GEOGRAPHERS"	"2469-4452|2469-4460"	"ENG"
"ANNALS OF THE AMERICAN THORACIC SOCIETY"	"2325-6621"	"ENG"
"ANNALS OF THE ENTOMOLOGICAL SOCIETY OF AMERICA"	"0013-8746|1938-2901"	"ENG"
"ANNALS OF THE FONDAZIONE LUIGI EINAUDI"	"2532-4969"	"ITA"
"ANNALS OF THE ICRP (INTERNATIONAL COMMISSION ON RADIOLOGICAL PROTECTION)"	"0146-6453"	"ENG"
"ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS"	"0020-3157|1572-9052"	"ENG"
"ANNALS OF THE INTERNATIONAL COMMUNICATION ASSOCIATION"	"2380-8977|2380-8985"	"ENG"
"ANNALS OF THE MISSOURI BOTANICAL GARDEN"	"0026-6493|2162-4372"	"ENG|MUL"
"ANNALS OF THE NAPRSTEK MUSEUM"	"0231-844X|2533-5685"	"ENG"
"ANNALS OF THE NEW YORK ACADEMY OF SCIENCES"	"0077-8923|1749-6632"	"ENG"
"ANNALS OF THE RHEUMATIC DISEASES"	"0003-4967|1468-2060"	"ENG"
"ANNALS OF THE ROYAL COLLEGE OF SURGEONS OF ENGLAND"	"0035-8843|1478-7083"	"ENG"
"ANNALS OF THE UNIVERSITY DUNAREA DE JOS OF GALATI, FASCICLE VI: FOOD TECHNOLOGY"	"1843-5157|2068-259X"	"ENG"
"ANNALS OF THE UNIVERSITY OF CRAIOVA, MATHEMATICS AND COMPUTER SCIENCE SERIES"	"1223-6934|2246-9958"	"ENG"
"ANNALS OF THE UNIVERSITY OF CRAIOVA, PHYSICS"	"1223-6039"	"ENG"
"ANNALS OF THORACIC AND CARDIOVASCULAR SURGERY"	"1341-1098|2186-1005"	"ENG"
"ANNALS OF THORACIC MEDICINE"	"1817-1737|1998-3557"	"ENG"
"ANNALS OF THORACIC SURGERY"	"0003-4975|1552-6259"	"ENG"
"ANNALS OF THYROID"	"2522-6681"	"ENG"
"ANNALS OF TOURISM RESEARCH"	"0160-7383|1873-7722"	"ENG|MUL"
"ANNALS OF TOURISM RESEARCH EMPIRICAL INSIGHTS"	"2666-9579"	"ENG"
"ANNALS OF TRANSPLANTATION"	"1425-9524|2329-0358"	"ENG"
"ANNALS OF VASCULAR DISEASES"	"1881-641X|1881-6428"	"ENG"
"ANNALS OF VASCULAR SURGERY"	"0890-5096|1615-5947"	"ENG"
"ANNALS OF WORK EXPOSURES AND HEALTH"	"2398-7308|2398-7316"	"ENG"
"ANNEE BALZACIENNE"	"0084-6473"	"FRE"
"ANNEE DU MAGHREB"	"2109-9405"	"FRE"
"ANNEE PSYCHOLOGIQUE"	"0003-5033|1955-2580"	"FRE|MUL"
"ANNUAIRE ROUMAIN D'ANTHROPOLOGIE"	"0570-2259"	"ENG|FRE"
"ANNUAIRE THEATRAL"	"0827-0198|1923-0893"	""
"ANNUAL INTERNATIONAL CONFERENCE OF THE IEEE ENGINEERING IN MEDICINE AND BIOLOGY SOCIETY. IEEE ENGINEERING IN MEDICINE AND BIOLOGY SOCIETY. ANNUAL INTERNATIONAL CONFERENCE"	"2694-0604"	"ENG"
"ANNUAL OF THE BRITISH SCHOOL AT ATHENS"	"0068-2454|2045-2403"	"ENG|GRE"
"ANNUAL PLANT REVIEWS ONLINE"	"2639-3832"	"ENG"
"ANNUAL REVIEW OF ANALYTICAL CHEMISTRY"	"1936-1327|1936-1335"	"ENG"
"ANNUAL REVIEW OF ANIMAL BIOSCIENCES"	"2165-8102|2165-8110"	"ENG"
"ANNUAL REVIEW OF ANTHROPOLOGY"	"0084-6570|1545-4290"	"ENG"
"ANNUAL REVIEW OF APPLIED LINGUISTICS"	"0267-1905|1471-6356"	"ENG"
"ANNUAL REVIEW OF ASTRONOMY AND ASTROPHYSICS"	"0066-4146|1545-4282"	"ENG"
"ANNUAL REVIEW OF BIOCHEMISTRY"	"0066-4154|1545-4509"	"ENG"
"ANNUAL REVIEW OF BIOMEDICAL DATA SCIENCE"	"2574-3414"	""
"ANNUAL REVIEW OF BIOMEDICAL ENGINEERING"	"1523-9829|1545-4274"	"ENG"
"ANNUAL REVIEW OF BIOPHYSICS"	"1936-122X|1936-1238"	"ENG"
"ANNUAL REVIEW OF CANCER BIOLOGY"	"2472-3428"	"ENG"
"ANNUAL REVIEW OF CELL AND DEVELOPMENTAL BIOLOGY"	"1081-0706|1530-8995"	"ENG"
"ANNUAL REVIEW OF CHEMICAL AND BIOMOLECULAR ENGINEERING"	"1947-5438|1947-5446"	"ENG"
"ANNUAL REVIEW OF CLINICAL PSYCHOLOGY"	"1548-5943|1548-5951"	"ENG"
"ANNUAL REVIEW OF CONDENSED MATTER PHYSICS"	"1947-5454|1947-5462"	"ENG"
"ANNUAL REVIEW OF CONTROL, ROBOTICS, AND AUTONOMOUS SYSTEMS"	"2573-5144"	"ENG"
"ANNUAL REVIEW OF CRIMINOLOGY"	"2572-4568"	"ENG"
"ANNUAL REVIEW OF CYBERTHERAPY AND TELEMEDICINE"	"1554-8716|2352-927X"	"ENG"
"ANNUAL REVIEW OF EARTH AND PLANETARY SCIENCES"	"0084-6597|1545-4495"	"ENG"
"ANNUAL REVIEW OF ECOLOGY, EVOLUTION, AND SYSTEMATICS"	"1543-592X|1545-2069"	"ENG"
"ANNUAL REVIEW OF ECONOMICS"	"1941-1383|1941-1391"	"ENG"
"ANNUAL REVIEW OF ENTOMOLOGY"	"0066-4170|1545-4487"	"ENG"
"ANNUAL REVIEW OF ENVIRONMENT AND RESOURCES"	"1543-5938|1545-2050"	"ENG"
"ANNUAL REVIEW OF FINANCIAL ECONOMICS"	"1941-1367|1941-1375"	"ENG"
"ANNUAL REVIEW OF FLUID MECHANICS"	"0066-4189|1545-4479"	"ENG"
"ANNUAL REVIEW OF FOOD SCIENCE AND TECHNOLOGY"	"1941-1413|1941-1421"	"ENG"
"ANNUAL REVIEW OF GENETICS"	"0066-4197|1545-2948"	"ENG"
"ANNUAL REVIEW OF GENOMICS AND HUMAN GENETICS"	"1527-8204|1545-293X"	"ENG"
"ANNUAL REVIEW OF IMMUNOLOGY"	"0732-0582|1545-3278"	"ENG"
"ANNUAL REVIEW OF LAW AND SOCIAL SCIENCE"	"1550-3585|1550-3631"	"ENG"
"ANNUAL REVIEW OF LINGUISTICS"	"2333-9683|2333-9691"	"ENG"
"ANNUAL REVIEW OF MARINE SCIENCE"	"1941-0611|1941-1405"	"ENG"
"ANNUAL REVIEW OF MATERIALS RESEARCH"	"1531-7331|1545-4118"	"ENG"
"ANNUAL REVIEW OF MEDICINE"	"0066-4219|1545-326X"	"ENG"
"ANNUAL REVIEW OF MICROBIOLOGY"	"0066-4227|1545-3251"	"ENG"
"ANNUAL REVIEW OF NEUROSCIENCE"	"0147-006X|1545-4126"	"ENG"
"ANNUAL REVIEW OF NUCLEAR AND PARTICLE SCIENCE"	"0163-8998|1545-4134"	"ENG"
"ANNUAL REVIEW OF NURSING RESEARCH"	"0739-6686"	"ENG"
"ANNUAL REVIEW OF NUTRITION"	"0199-9885|1545-4312"	"ENG"
"ANNUAL REVIEW OF ORGANIZATIONAL PSYCHOLOGY AND ORGANIZATIONAL BEHAVIOR"	"2327-0608|2327-0616"	"ENG"
"ANNUAL REVIEW OF PATHOLOGY: MECHANISMS OF DISEASE"	"1553-4006|1553-4014"	"ENG"
"ANNUAL REVIEW OF PHARMACOLOGY AND TOXICOLOGY"	"0362-1642|1545-4304"	"ENG"
"ANNUAL REVIEW OF PHYSICAL CHEMISTRY"	"0066-426X|1545-1593"	"ENG"
"ANNUAL REVIEW OF PHYSIOLOGY"	"0066-4278|1545-1585"	"ENG"
"ANNUAL REVIEW OF PHYTOPATHOLOGY"	"0066-4286|1545-2107"	"ENG"
"ANNUAL REVIEW OF PLANT BIOLOGY"	"1543-5008|1545-2123"	"ENG"
"ANNUAL REVIEW OF POLITICAL SCIENCE"	"1094-2939|1545-1577"	"ENG"
"ANNUAL REVIEW OF PSYCHOLOGY"	"0066-4308|1545-2085"	"ENG"
"ANNUAL REVIEW OF PUBLIC HEALTH"	"0163-7525|1545-2093"	"ENG"
"ANNUAL REVIEW OF RESOURCE ECONOMICS"	"1941-1340|1941-1359"	"ENG"
"ANNUAL REVIEW OF SOCIOLOGY"	"0360-0572|1545-2115"	"ENG"
"ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION"	"2326-831X|2326-8298"	"ENG"
"ANNUAL REVIEW OF VIROLOGY"	"2327-056X|2327-0578"	"ENG"
"ANNUAL REVIEW OF VISION SCIENCE"	"2374-4642|2374-4650"	"ENG"
"ANNUAL REVIEWS IN CONTROL"	"1367-5788|1872-9088"	"ENG"
"ANOS 90"	"0104-236X|1983-201X"	"POR|SPA"
"ANQ - A QUARTERLY JOURNAL OF SHORT ARTICLES NOTES AND REVIEWS"	"0895-769X|1940-3364"	"ENG"
"ANSIEDAD Y ESTRES - ANXIETY AND STRESS"	"1134-7937|2174-0437"	"ENG|SPA"
"ANTARCTIC RECORD"	"0085-7289"	"ENG"
"ANTARCTIC SCIENCE"	"0954-1020|1365-2079"	"ENG"
"ANTARES - LETRAS E HUMANIDADES"	"1984-4921"	"POR"
"ANTHROPOCENE"	"2213-3054"	"ENG"
"ANTHROPOCENE COASTS"	"2561-4150"	"ENG"
"ANTHROPOCENE REVIEW"	"2053-0196|2053-020X"	"ENG"
"ANTHROPOLOGICA"	"0003-5459"	"ENG"
"ANTHROPOLOGICAL FORUM"	"0066-4677|1469-2902"	"ENG"
"ANTHROPOLOGICAL JOURNAL OF EUROPEAN CULTURES"	"1755-2923|1755-2931"	"ENG"
"ANTHROPOLOGICAL LINGUISTICS"	"0003-5483"	"ENG"
"ANTHROPOLOGICAL MEASUREMENTS OF PHILOSOPHICAL RESEARCH"	"2227-7242|2304-9685"	"ENG|RUS|UKR"
"ANTHROPOLOGICAL NOTEBOOKS"	"1408-032X"	"ENG"
"ANTHROPOLOGICAL QUARTERLY"	"0003-5491|1534-1518"	"ENG"
"ANTHROPOLOGICAL REVIEW"	"1898-6773|2083-4594"	"ENG"
"ANTHROPOLOGICAL SCIENCE"	"0918-7960|1348-8570"	"ENG|JPN"
"ANTHROPOLOGICAL THEORY"	"1463-4996|1741-2641"	"ENG"
"ANTHROPOLOGIE"	"0003-5521|1873-5827"	"FRE"
"ANTHROPOLOGIE ET SANTE - REVUE INTERNATIONALE FRANCOPHONE D ANTHROPOLOGIE DE LA SANTE"	"2111-5028"	"FRE"
"ANTHROPOLOGIE - INTERNATIONAL JOURNAL OF HUMAN DIVERSITY AND EVOLUTION"	"2570-9127|0323-1119"	"ENG|FRE|GER"
"ANTHROPOLOGISCHER ANZEIGER"	"0003-5548"	"ENG|GER|MUL"
"ANTHROPOLOGY AND AGING"	"2374-2267"	"ENG"
"ANTHROPOLOGY AND ARCHEOLOGY OF EURASIA"	"1061-1959"	"ENG"
"ANTHROPOLOGY AND EDUCATION QUARTERLY"	"0161-7761|1548-1492"	"ENG"
"ANTHROPOLOGY AND HUMANISM"	"1548-1409|1559-9167"	"ENG"
"ANTHROPOLOGY AND MEDICINE"	"1364-8470|1469-2910"	"ENG"
"ANTHROPOLOGY IN ACTION - JOURNAL FOR APPLIED ANTHROPOLOGY IN POLICY AND PRACTICE"	"0967-201X|1752-2285"	"ENG"
"ANTHROPOLOGY OF CONSCIOUSNESS"	"1053-4202|1556-3537"	"ENG"
"ANTHROPOLOGY OF THE MIDDLE EAST"	"1746-0719"	"ENG"
"ANTHROPOLOGY OF WORK REVIEW"	"0883-024X|1548-1417"	"ENG"
"ANTHROPOLOGY SOUTHERN AFRICA"	"2332-3256|2332-3264"	"ENG"
"ANTHROPOLOGY TODAY"	"0268-540X|1467-8322"	"ENG"
"ANTHROPOS"	"0257-9774"	"ENG|FRE|GER|MUL"
"ANTHROPOZOOLOGICA"	"0761-3032|2107-0881"	"ENG|FRE"
"ANTHROZOOS"	"0892-7936|1753-0377"	"ENG"
"ANTIBIOTICS - BASEL"	"2079-6382"	"ENG"
"ANTIBODIES"	"2073-4468"	"ENG"
"ANTIBODY THERAPEUTICS"	"2516-4236"	"ENG"
"ANTI - CANCER AGENTS IN MEDICINAL CHEMISTRY"	"1871-5206|1875-5992"	"ENG"
"ANTI - CANCER DRUGS"	"0959-4973|1473-5741"	"ENG"
"ANTICANCER RESEARCH"	"0250-7005|1791-7530"	"ENG"
"ANTICHTHON"	"0066-4774|2056-8819"	"ENG"
"ANTI - CORROSION METHODS AND MATERIALS"	"0003-5599|1758-4221"	"ENG"
"ANTIGONISH REVIEW"	"0003-5661"	"ENG"
"ANTIGUO ORIENTE"	"1667-9202"	"ENG|FRE|SPA"
"ANTI - INFECTIVE AGENTS"	"2211-3525|2211-3533"	"ENG"
"ANTI - INFLAMMATORY AND ANTI - ALLERGY AGENTS IN MEDICINAL CHEMISTRY"	"1871-5230"	"ENG"
"ANTIKE KUNST"	"0003-5688"	"ENG|FRE|GER|ITA"
"ANTIKE UND ABENDLAND"	"0003-5696|1613-0421"	"GER|MUL"
"ANTIK TANULMANYOK"	"0003-567X|1588-2748"	"HUN"
"ANTIMICROBIAL AGENTS AND CHEMOTHERAPY"	"0066-4804|1098-6596"	"ENG"
"ANTIMICROBIAL RESISTANCE AND INFECTION CONTROL"	"2047-2994"	"ENG"
"ANTIMICROBIAL STEWARDSHIP AND HEALTHCARE EPIDEMIOLOGY"	"2732-494X"	""
"ANTIOXIDANTS"	"2076-3921"	"ENG"
"ANTIOXIDANTS AND REDOX SIGNALING"	"1523-0864|1557-7716"	"ENG"
"ANTIPHON - A JOURNAL FOR LITURGICAL RENEWAL"	"1543-9925|1543-9933"	"ENG"
"ANTIPODA"	"1900-5407|2011-4273"	"SPA"
"ANTIPODE"	"0066-4812|1467-8330"	"ENG"
"ANTIPODES - A GLOBAL JOURNAL OF AUSTRALIAN/NEW ZEALAND LITERATURE"	"0893-5580|2331-9089"	"ENG"
"ANTIQUARIES JOURNAL"	"0003-5815|1758-5309"	"ENG"
"ANTIQUITE TARDIVE"	"1250-7334"	"ENG|FRE|GER|ITA|SPA"
"ANTIQUITY"	"0003-598X|1745-1744"	"ENG"
"ANTITESES"	"1984-3356"	"ENG|POR|SPA"
"ANTI - TRAFFICKING REVIEW"	"2286-7511|2287-0113"	"ENG"
"ANTITRUST BULLETIN"	"0003-603X|1930-7969"	"ENG"
"ANTITRUST LAW JOURNAL"	"0003-6056|2326-9774"	"ENG"
"ANTIVIRAL CHEMISTRY AND CHEMOTHERAPY"	"0956-3202"	"ENG"
"ANTIVIRAL RESEARCH"	"0166-3542|1872-9096"	"ENG"
"ANTIVIRAL THERAPY"	"1359-6535|2040-2058"	"ENG"
"ANTONIE VAN LEEUWENHOEK, INTERNATIONAL JOURNAL OF GENERAL AND MOLECULAR MICROBIOLOGY"	"0003-6072|1572-9699"	"ENG"
"ANTROPOLOGIA E TEATRO - RIVISTA DI STUDI"	"2039-2281"	"ENG|ITA"
"ANTROPOLOGIA PORTUGUESA"	"0870-0990|2182-7982"	"ENG|POR"
"ANUARI DE FILOLOGIA - ESTUDIS DE LINGUISTICA"	"2014-1408"	"CAT|ENG|SPA"
"ANUARI DE FILOLOGIA - LITERATURES CONTEMPORANIES"	"2014-1416"	"CAT|ENG|GER|SPA"
"ANUARI DE FILOLOGIA - LLENGUES I LITERATURAS MODERNAS"	"2014-1394"	"ENG|GER|POL|RUS|SPA"
"ANUARIO CALDERONIANO"	"1888-8046"	"MUL|SPA"
"ANUARIO CIDOB DE LA INMIGRACION"	"2462-6732|2462-6740"	"SPA"
"ANUARIO COLOMBIANO DE DERECHO INTERNACIONAL - ACDI"	"2027-1131|2145-4493"	"ENG|FRE|SPA"
"ANUARIO COLOMBIANO DE HISTORIA SOCIAL Y DE LA CULTURA"	"0120-2456|2256-5647"	"ENG|POR|SPA"
"ANUARIO DE ESTUDIOS AMERICANOS"	"0210-5810|1988-4273"	"ENG|POR|SPA"
"ANUARIO DE ESTUDIOS FILOLOGICOS"	"0210-8178"	"SPA"
"ANUARIO DE ESTUDIOS MEDIEVALES"	"0066-5061|1988-4230"	"CAT|ENG|FRE|ITA|POR|SPA"
"ANUARIO DE FILOSOFIA DEL DERECHO"	"0518-0872"	"SPA"
"ANUARIO DE HISTORIA DE LA IGLESIA"	"1133-0104|2174-0887"	"SPA"
"ANUARIO DE HISTORIA REGIONAL Y DE LAS FRONTERAS"	"0122-2066|2145-8499"	"SPA"
"ANUARIO DE LA ESCUELA DE HISTORIA VIRTUAL"	"1853-7049"	"ENG|SPA"
"ANUARIO DE PSICOLOGIA"	"0066-5126|1988-5253"	"MUL|SPA"
"ANUARIO DE PSICOLOGIA JURIDICA"	"1133-0740|2174-0542"	"ENG|SPA"
"ANUARIO DO INSTITUTO DE GEOCIENCIAS"	"0101-9759"	"POR"
"ANUARIO ESPANOL DE DERECHO INTERNACIONAL PRIVADO"	"1578-3138"	"SPA"
"ANUARIO FILOSOFICO"	"0066-5215"	"ENG|SPA"
"ANUARIO IBEROAMERICANO DE DERECHO INTERNACIONAL PENAL"	"2346-3120"	"SPA"
"ANUARIO IBEROAMERICANO DE JUSTICIA CONSTITUCIONAL"	"1138-4824"	"POR|SPA"
"ANUARIO IEHS"	"0326-9671|2524-9339"	"POR|SPA"
"ANUARIO LOPE DE VEGA - TEXTO LITERATURA CULTURA"	"2014-8860"	"SPA"
"ANUARIO MEXICANO DE DERECHO INTERNACIONAL"	"1870-4654"	"ENG|MUL|SPA"
"ANUARIO MUSICAL"	"0211-3538|1988-4125"	"CAT|ENG|FRE|GER|ITA|POR|SPA"
"ANUARIO TURISMO Y SOCIEDAD"	"0120-7555|2346-206X"	"ENG|SPA"
"ANXIETY, STRESS AND COPING"	"1061-5806|1477-2205"	"ENG"
"ANZIAM JOURNAL"	"1446-1811|1446-8735"	"ENG"
"ANZ JOURNAL OF SURGERY"	"1445-1433|1445-2197"	"ENG"
"AOB PLANTS"	"2041-2851"	"ENG"
"AORN JOURNAL"	"0001-2092|1878-0369"	"ENG"
"AORTA"	"2325-4637"	"ENG"
"AOTEAROA NEW ZEALAND SOCIAL WORK"	"2463-4131"	"ENG"
"APA PLANNING ADVISORY SERVICE REPORTS"	"0160-8266"	"ENG"
"AP ARQUEOLOGIA PUBLICA"	"2171-6315"	"ENG"
"APEIRON - A JOURNAL FOR ANCIENT PHILOSOPHY AND SCIENCE"	"0003-6390|2156-7093"	"ENG"
"APERTURE"	"0003-6420"	"ENG"
"APHASIOLOGY"	"0268-7038|1464-5041"	"ENG"
"APIDOLOGIE"	"0044-8435|1297-9678"	"ENG|MUL"
"APL BIOENGINEERING"	"2473-2877"	"ENG"
"APL MATERIALS"	"2166-532X"	"ENG"
"APL PHOTONICS"	"2378-0967"	"ENG"
"APMIS : ACTA PATHOLOGICA, MICROBIOLOGICA, ET IMMUNOLOGICA SCANDINAVICA"	"0903-4641|1600-0463"	"ENG"
"APOCRYPHA"	"1155-3316|2034-6468"	"ENG|FRE"
"APOLLO - THE INTERNATIONAL ART MAGAZINE"	"0003-6536"	"ENG"
"APOPTOSIS : AN INTERNATIONAL JOURNAL ON PROGRAMMED CELL DEATH"	"1360-8185|1573-675X"	"ENG"
"APORTES - REVISTA DE HISTORIA CONTEMPORANEA"	"0213-5868|2386-4850"	"SPA"
"APOSTA - REVISTA DE CIENCIAS SOCIALES"	"1696-7348"	"SPA"
"APOS TRENDS IN ORTHODONTICS"	"2321-1407|2321-4600"	"ENG"
"APPALACHIAN HERITAGE - A LITERARY QUARTERLY OF THE SOUTHERN APPALACHIANS"	"0363-2318|1940-5081"	"ENG"
"APPALACHIAN JOURNAL"	"0090-3779"	"ENG"
"APPARATUS"	"2365-7758"	"RUS"
"APPEAL"	"1205-612X|1925-4938"	"ENG"
"APPETITE"	"0195-6663|1095-8304"	"ENG"
"APPLICABLE ALGEBRA IN ENGINEERING, COMMUNICATIONS AND COMPUTING"	"0938-1279|1432-0622"	"ENG"
"APPLICABLE ANALYSIS"	"1026-7360|0003-6811|1563-504X"	"ENG"
"APPLICABLE ANALYSIS AND DISCRETE MATHEMATICS"	"2406-100X|1452-8630"	"ENG"
"APPLICATIONES MATHEMATICAE"	"1233-7234|1730-6280"	"ENG"
"APPLICATION OF CLINICAL GENETICS"	"1178-704X"	"ENG"
"APPLICATIONS AND APPLIED MATHEMATICS - AN INTERNATIONAL JOURNAL"	"1932-9466"	"ENG"
"APPLICATIONS IN ENERGY AND COMBUSTION SCIENCE"	"2666-352X"	"ENG"
"APPLICATIONS IN PLANT SCIENCES"	"2168-0450"	"ENG"
"APPLICATIONS OF MATHEMATICS"	"0862-7940|1572-9109"	"ENG"
"APPLIED ACOUSTICS"	"0003-682X|1872-910X"	"ENG|MUL"
"APPLIED ADHESION SCIENCE"	"2196-4351"	"ENG"
"APPLIED AND COMPUTATIONAL HARMONIC ANALYSIS"	"1063-5203|1096-603X"	"ENG"
"APPLIED AND COMPUTATIONAL MATHEMATICS"	"1683-3511|1683-6154"	"ENG"
"APPLIED AND COMPUTATIONAL MECHANICS"	"1802-680X|2336-1182"	"ENG"
"APPLIED AND ENVIRONMENTAL MICROBIOLOGY"	"0099-2240|1098-5336"	"ENG"
"APPLIED AND ENVIRONMENTAL SOIL SCIENCE"	"1687-7667|1687-7675"	"ENG"
"APPLIED ANIMAL BEHAVIOUR SCIENCE"	"0168-1591|1872-9045"	"ENG"
"APPLIED ANIMAL SCIENCE"	"2590-2865|2590-2873"	"ENG"
"APPLIED ARTIFICIAL INTELLIGENCE"	"0883-9514|1087-6545"	"ENG"
"APPLIED BIOCHEMISTRY AND BIOTECHNOLOGY"	"0273-2289|1559-0291"	"ENG"
"APPLIED BIOCHEMISTRY AND MICROBIOLOGY"	"0003-6838|1608-3024"	"ENG"
"APPLIED BIOLOGICAL CHEMISTRY"	"2468-0834|2468-0842"	"ENG"
"APPLIED BIOLOGICAL RESEARCH"	"0972-0979|0974-4517"	"ENG"
"APPLIED BIONICS AND BIOMECHANICS"	"1176-2322|1754-2103"	"ENG"
"APPLIED BIOSAFETY"	"1535-6760|2470-1246"	"ENG"
"APPLIED CATALYSIS A: GENERAL"	"0926-860X|1873-3875"	"ENG"
"APPLIED CATALYSIS B: ENVIRONMENTAL"	"0926-3373|1873-3883"	"ENG"
"APPLIED CATEGORICAL STRUCTURES"	"0927-2852|1572-9095"	"ENG"
"APPLIED CHEMICAL ENGINEERING"	"2578-2010"	"ENG"
"APPLIED CHEMISTRY FOR ENGINEERING"	"1225-0112|1228-4505"	"KOR|MUL"
"APPLIED CLAY SCIENCE"	"0169-1317|1872-9053"	"ENG"
"APPLIED CLINICAL INFORMATICS"	"1869-0327"	"ENG"
"APPLIED COGNITIVE PSYCHOLOGY"	"0888-4080|1099-0720"	"ENG"
"APPLIED COMPOSITE MATERIALS"	"0929-189X|1573-4897"	"ENG"
"APPLIED COMPUTATIONAL ELECTROMAGNETICS SOCIETY JOURNAL"	"1054-4887|1943-5711"	"ENG"
"APPLIED COMPUTATIONAL INTELLIGENCE AND SOFT COMPUTING"	"1687-9724|1687-9732"	"ENG"
"APPLIED COMPUTER SCIENCE"	"1895-3735|2353-6977"	"ENG"
"APPLIED COMPUTER SYSTEMS"	"2255-8683|2255-8691"	"ENG"
"APPLIED COMPUTING AND GEOSCIENCES"	"2590-1974"	"ENG"
"APPLIED COMPUTING AND INFORMATICS"	"2210-8327|2634-1964"	"ENG"
"APPLIED COMPUTING REVIEW"	"1559-6915"	"ENG"
"APPLIED DEVELOPMENTAL SCIENCE"	"1088-8691|1532-480X"	"ENG"
"APPLIED EARTH SCIENCE - TRANSACTIONS OF THE INSTITUTIONS OF MINING AND METALLURGY"	"2572-6838|2572-6846"	"ENG"
"APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH"	"1589-1623|1785-0037"	"ENG|MUL"
"APPLIED ECONOMETRICS AND INTERNATIONAL DEVELOPMENT"	"1578-4487"	"ENG"
"APPLIED ECONOMIC ANALYSIS"	"2632-7627"	"ENG"
"APPLIED ECONOMIC PERSPECTIVES AND POLICY"	"2040-5790|2040-5804"	"ENG"
"APPLIED ECONOMICS"	"0003-6846|1466-4283"	"ENG"
"APPLIED ECONOMICS JOURNAL"	"2586-9124|2586-9132"	"THA"
"APPLIED ECONOMICS LETTERS"	"1350-4851|1466-4291"	"ENG"
"APPLIED ECONOMICS QUARTERLY"	"1611-6607|1865-5122"	"ENG"
"APPLIED ENERGY"	"0306-2619|1872-9118"	"ENG|MUL"
